"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"86611810","86593945","CANCEL","2018-05-30T00:57:40","U","FC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","iTraxx Asia ex-Japan IG Series 29 Version 1:4ABCAMAV8","","Basis points","80","","","USD","","25,000,000","","3M","","","","","","","","","","","","","","",""
"86611811","86593945","CORRECT","2018-05-30T07:21:10","U","FC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","iTraxx Asia ex-Japan IG Series 29 Version 1:4ABCAMAV8","","Basis points","80","","","USD","","25,000,000","","3M","","","","","","","","","","","","","","",""
"86610687","","NEW","2018-05-30T07:12:20","C","","N","N","Y","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","XOVER S29:2I667KFN3","","Basis points","311.45","","","EUR","","45,000,000","","3M","","","","","","","","","","","","","","",""
"86614044","","NEW","2018-05-30T07:33:14","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","EUR","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","MARKIT ITRX EUROPE 06/23 ICE:2I666VCI4","","Basis points","70.35","","","EUR","","39,000,000","","3M","","","","","","","","","","","","","","",""
"86619565","","NEW","2018-05-30T07:56:51","U","PC","N","N","N","OFF","2018-05-30","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXEmergingMarkets","Partialtermination","CDX.EM.29:2I65BZDJ8","","Price","97.22","","","USD","","10,000,000","","3M","","","","","","","","","","","","","","",""
"86619349","","NEW","2018-05-30T07:55:21","U","PC","N","N","N","OFF","2018-05-30","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXEmergingMarkets","Partialtermination","CDX.EM.29:2I65BZDJ8","","Price","97.22","","","USD","","5,000,000","","3M","","","","","","","","","","","","","","",""
"86617410","","NEW","2018-05-30T07:26:32","U","UC","N","N","Y","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","iTraxx Europe Senior Financials Series 29 Version 1:2I667DBT0","","Basis points","89.75","","","EUR","","95,000,000+","","3M","","","","","","","","","","","","","","",""
"86616081","","NEW","2018-05-30T07:39:15","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","EUROPE S29:2I666VCI4","","Basis points","69.755","","","EUR","","2,000,000","","3M","","","","","","","","","","","","","","",""
"86615752","","NEW","2018-05-30T07:38:27","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","EUROPE S29:2I666VCI4","","Basis points","69.755","","","EUR","","21,000,000","","3M","","","","","","","","","","","","","","",""
"86616566","","NEW","2018-05-30T07:40:15","U","UC","N","N","N","OFF","2018-03-20","2023-06-20"," Act/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","iTraxx Europe Series 29 Version 1:2I666VCI4","","BasisPoints","69.9","","","EUR","","400,000","","3M","","","","","","","","","","","","","","",""
