"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"88662659","","NEW","2018-06-22T19:58:20","U","PC","N","N","Y","OFF","2017-03-09","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","500","","","USD","","67,000,000","","3M","","","","","","","","","","","","","","",""
"88662660","","NEW","2018-06-22T19:58:26","U","PC","N","N","N","OFF","2017-07-27","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","10","","","USD","","9,000,000","","3M","","","","","","","","","","","","","","",""
"88662661","","NEW","2018-06-22T19:58:26","U","PC","N","N","N","OFF","2017-07-27","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","10","","","USD","","11,000,000","","3M","","","","","","","","","","","","","","",""
"88662662","","NEW","2018-06-22T19:58:24","U","PC","N","N","N","OFF","2017-07-27","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","500","","","USD","","40,000,000","","3M","","","","","","","","","","","","","","",""
"88662663","","NEW","2018-06-22T19:58:23","U","PC","N","N","N","OFF","2017-07-27","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","500","","","USD","","25,000,000","","3M","","","","","","","","","","","","","","",""
"88662664","","NEW","2018-06-22T19:58:28","U","PC","N","N","N","OFF","2017-10-19","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","120","","","USD","","40,000,000","","3M","","","","","","","","","","","","","","",""
"88662665","","NEW","2018-06-22T19:58:23","U","PC","N","N","Y","OFF","2017-07-27","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","18","","","USD","","320,000,000+","","3M","","","","","","","","","","","","","","",""
"88662666","","NEW","2018-06-22T19:58:25","U","PC","N","N","N","OFF","2017-07-27","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","10","","","USD","","28,000,000","","3M","","","","","","","","","","","","","","",""
"88662667","","NEW","2018-06-22T19:58:25","U","PC","N","N","N","OFF","2017-07-27","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","10","","","USD","","6,000,000","","3M","","","","","","","","","","","","","","",""
"88662668","","NEW","2018-06-22T19:58:27","U","PC","N","N","N","OFF","2017-07-27","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","10","","","USD","","47,000,000","","3M","","","","","","","","","","","","","","",""
"88662669","","NEW","2018-06-22T19:58:31","U","PC","N","N","Y","OFF","2017-11-10","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","10","","","USD","","320,000,000+","","3M","","","","","","","","","","","","","","",""
"88662670","","NEW","2018-06-22T19:58:19","U","PC","N","N","Y","OFF","2016-11-17","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","25","","","USD","","320,000,000+","","3M","","","","","","","","","","","","","","",""
"88662671","","NEW","2018-06-22T19:58:26","U","PC","N","N","N","OFF","2017-07-27","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","10","","","USD","","8,000,000","","3M","","","","","","","","","","","","","","",""
"88662672","","NEW","2018-06-22T19:58:27","U","PC","N","N","N","OFF","2017-07-27","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","10","","","USD","","16,000,000","","3M","","","","","","","","","","","","","","",""
"88662673","","NEW","2018-06-22T19:58:28","U","PC","N","N","N","OFF","2017-10-19","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","110","","","USD","","15,000,000","","3M","","","","","","","","","","","","","","",""
"88662674","","NEW","2018-06-22T19:58:28","U","PC","N","N","N","OFF","2017-10-19","2018-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","105","","","USD","","90,000,000","","3M","","","","","","","","","","","","","","",""
"88662675","","NEW","2018-06-22T19:58:32","U","PC","N","N","N","OFF","2018-03-06","2019-12-20"," ACT/360","","CR","","Credit:Exotic:Other","Partialtermination","BASKET","","Basis points","500","","","USD","","6,000,000","","3M","","","","","","","","","","","","","","",""
